account_id,customer_id,account_type,account_purpose,base_currency,status,opened_on,per_transaction_limit_chf,monthly_limit_chf
AC1001,CU1001,debit,daily_spending,CHF,active,2021-05-09,1000,3600
AC1002,CU1001,debit,family,CHF,active,2025-06-30,800,2800
AC1003,CU1002,debit,daily_spending,CHF,active,2015-02-04,1400,5000
AC1004,CU1002,prepaid,travel,CHF,active,2019-09-05,600,2000
AC1005,CU1003,credit,daily_spending,CHF,active,2024-01-13,3500,9500
AC1006,CU1004,debit,daily_spending,CHF,active,2018-02-24,1200,4500
AC1007,CU1005,credit,daily_spending,CHF,active,2020-02-14,2000,6500
AC1008,CU1006,credit,daily_spending,CHF,active,2014-04-03,2000,6500
AC1009,CU1006,credit,travel,CHF,active,2017-02-27,2500,7500
AC1010,CU1007,debit,daily_spending,CHF,active,2019-03-17,1200,4500
AC1011,CU1008,debit,daily_spending,CHF,active,2023-06-03,1600,5500
AC1012,CU1009,debit,daily_spending,CHF,active,2015-10-04,800,2800
AC1013,CU1010,credit,daily_spending,CHF,active,2016-09-23,2500,7500
AC1014,CU1010,credit,business,CHF,active,2017-04-29,2500,7500
AC1015,CU1011,debit,daily_spending,CHF,active,2023-06-11,1600,5500
AC1016,CU1011,prepaid,online,CHF,active,2025-06-30,800,2800
AC1017,CU1012,credit,daily_spending,CHF,active,2018-12-24,2000,6500
AC1018,CU1013,debit,daily_spending,CHF,active,2014-01-11,1400,5000
AC1019,CU1014,credit,daily_spending,CHF,active,2020-09-20,3500,9500
AC1020,CU1015,debit,daily_spending,CHF,active,2017-06-08,1000,3600
AC1021,CU1016,credit,daily_spending,CHF,active,2016-01-22,3000,8500
AC1022,CU1017,debit,daily_spending,CHF,active,2018-11-09,1600,5500
AC1023,CU1018,debit,daily_spending,CHF,active,2016-06-27,1000,4000
AC1024,CU1019,debit,daily_spending,CHF,active,2021-07-28,1400,5000
AC1025,CU1019,prepaid,online,CHF,active,2025-06-30,900,3200
AC1026,CU1020,debit,daily_spending,CHF,active,2016-08-07,1400,5000
AC1027,CU1021,debit,daily_spending,CHF,active,2020-01-17,800,2800
AC1028,CU1022,debit,daily_spending,CHF,active,2023-01-16,800,2800
AC1029,CU1023,credit,daily_spending,CHF,active,2017-03-16,4000,11000
AC1030,CU1024,credit,daily_spending,CHF,active,2018-03-17,3500,9500
AC1031,CU1024,credit,travel,CHF,active,2019-08-10,2500,7500
AC1032,CU1025,debit,daily_spending,CHF,active,2014-11-12,1200,4500
AC1033,CU1025,prepaid,online,CHF,active,2017-04-10,1000,3600
AC1034,CU1026,debit,daily_spending,CHF,active,2018-02-17,1200,4500
AC1035,CU1027,debit,daily_spending,CHF,active,2017-09-23,1000,3600
AC1036,CU1028,debit,daily_spending,CHF,active,2014-02-03,1600,5500
AC1037,CU1029,debit,daily_spending,CHF,active,2014-09-26,1000,4000
AC1038,CU1029,prepaid,online,CHF,active,2016-06-02,1000,3600
AC1039,CU1030,debit,daily_spending,CHF,active,2024-06-27,1400,5000
AC1040,CU1031,debit,daily_spending,CHF,active,2017-05-13,1400,5000
AC1041,CU1031,debit,pet_care,CHF,active,2020-08-08,1600,5500
AC1042,CU1032,debit,daily_spending,CHF,active,2023-08-18,1600,5500
AC1043,CU1033,credit,daily_spending,CHF,active,2018-01-25,4000,11000
AC1044,CU1033,credit,events,CHF,active,2019-10-27,2500,7500
AC1045,CU1034,credit,daily_spending,CHF,active,2016-11-11,4000,11000
AC1046,CU1035,debit,daily_spending,CHF,active,2022-12-04,1000,3600
AC1047,CU1036,credit,daily_spending,CHF,active,2024-04-20,2000,6500
AC1048,CU1037,credit,daily_spending,CHF,active,2023-09-27,3000,8500
AC1049,CU1037,credit,travel,CHF,active,2025-06-30,3500,9500
AC1050,CU1038,debit,daily_spending,CHF,active,2016-04-19,1000,3600
AC1051,CU1039,debit,daily_spending,CHF,active,2015-05-27,800,2800
AC1052,CU1040,debit,daily_spending,CHF,active,2024-01-14,1000,4000
AC1053,CU1040,debit,family,CHF,active,2025-01-09,1000,3600
AC1054,CU1041,debit,daily_spending,CHF,active,2014-04-02,800,2800
AC1055,CU1042,debit,daily_spending,CHF,active,2020-12-09,1400,5000
AC1056,CU1043,debit,daily_spending,CHF,active,2023-11-26,1000,4000
AC1057,CU1043,credit,renovation,CHF,active,2025-06-30,4000,11000
AC1058,CU1044,debit,daily_spending,CHF,active,2021-08-23,1600,5500
